,PC1,PC2,center
337,153600.0,352654.0,center3
338,142104.0,352045.0,center3
339,151396.0,345969.0,center3
340,145579.0,344761.0,center3
341,149193.0,351500.0,center3
342,150520.0,351016.0,center3
343,152365.0,347281.0,center3
344,149137.0,353807.0,center3
345,154985.0,350602.0,center3
346,148479.0,350237.0,center3
347,151036.0,350965.0,center3
348,152102.0,352583.0,center3
349,150269.0,354824.0,center3
350,152786.0,349454.0,center3
351,151022.0,344657.0,center3
352,147520.0,352941.0,center3
353,144291.0,346510.0,center3
354,155877.0,354501.0,center3
355,148088.0,347954.0,center3
356,150327.0,354726.0,center3
357,151781.0,347642.0,center3
358,150359.0,346535.0,center3
359,147139.0,352725.0,center3
360,148521.0,345563.0,center3
361,149605.0,352102.0,center3
362,154677.0,351845.0,center3
363,147278.0,349277.0,center3
364,152481.0,349174.0,center3
365,150976.0,356572.0,center3
366,149260.0,348748.0,center3
367,146658.0,349067.0,center3
368,149101.0,346956.0,center3
369,149726.0,347413.0,center3
370,145353.0,347699.0,center3
371,150608.0,355440.0,center3
372,147400.0,348512.0,center3
373,149702.0,347799.0,center3
374,151063.0,348696.0,center3
375,147139.0,351962.0,center3
376,149088.0,345769.0,center3
377,151107.0,352084.0,center3
378,144195.0,345231.0,center3
379,153276.0,349916.0,center3
380,157667.0,345018.0,center3
381,153034.0,351990.0,center3
382,149001.0,352080.0,center3
383,151355.0,347972.0,center3
384,146724.0,350672.0,center3
385,155938.0,351106.0,center3
386,152975.0,353945.0,center3
387,152490.0,350653.0,center3
388,147230.0,352994.0,center3
389,151012.0,349734.0,center3
390,148235.0,347784.0,center3
391,149015.0,349782.0,center3
392,148197.0,349193.0,center3
393,146756.0,352450.0,center3
394,147126.0,349536.0,center3
395,149336.0,347287.0,center3
396,144628.0,348976.0,center3
397,151921.0,353932.0,center3
398,149627.0,348657.0,center3
399,152211.0,348149.0,center3
400,150853.0,353181.0,center3
401,151563.0,350475.0,center3
402,145310.0,348390.0,center3
403,146774.0,347353.0,center3
404,148586.0,345202.0,center3
405,150347.0,350517.0,center3
406,153569.0,349359.0,center3
407,149083.0,350912.0,center3
408,153989.0,345816.0,center3
409,151503.0,354309.0,center3
410,153713.0,351904.0,center3
411,150401.0,345111.0,center3
412,147923.0,353118.0,center3
413,145315.0,347683.0,center3
414,150492.0,351000.0,center3
415,152588.0,350949.0,center3
416,149075.0,347144.0,center3
417,148290.0,340826.0,center3
418,149024.0,351587.0,center3
419,146532.0,348577.0,center3
420,148441.0,347963.0,center3
421,149428.0,351261.0,center3
422,150145.0,347844.0,center3
423,149798.0,352092.0,center3
424,151933.0,350668.0,center3
425,150346.0,346915.0,center3
426,155736.0,353207.0,center3
427,150987.0,351592.0,center3
428,155706.0,354510.0,center3
429,147713.0,346963.0,center3
430,151665.0,347350.0,center3
431,149177.0,350904.0,center3
432,151898.0,352289.0,center3
433,151878.0,352793.0,center3
434,143087.0,349329.0,center3
435,145804.0,348838.0,center3
436,145443.0,351598.0,center3
437,151271.0,356308.0,center3
438,154649.0,353248.0,center3
439,148967.0,350163.0,center3
440,152569.0,348449.0,center3
441,151725.0,351745.0,center3
442,146674.0,348144.0,center3
443,151257.0,350876.0,center3
444,147622.0,352211.0,center3
445,154795.0,353388.0,center3
446,149897.0,351840.0,center3
447,155173.0,354853.0,center3
448,148656.0,355690.0,center3
449,151864.0,344216.0,center3
450,149801.0,344384.0,center3
451,143606.0,346458.0,center3
452,146894.0,343403.0,center3
453,151937.0,349070.0,center3
454,149826.0,348924.0,center3
455,146462.0,350434.0,center3
456,148019.0,350702.0,center3
457,150789.0,347920.0,center3
458,146860.0,347127.0,center3
459,153083.0,352805.0,center3
460,147974.0,348596.0,center3
461,155720.0,346258.0,center3
462,146585.0,349691.0,center3
463,150630.0,350705.0,center3
464,145190.0,348226.0,center3
465,147712.0,351859.0,center3
466,148124.0,350523.0,center3
467,151269.0,349457.0,center3
468,152979.0,350159.0,center3
469,150950.0,351537.0,center3
470,148820.0,348493.0,center3
471,152579.0,346939.0,center3
472,152526.0,349763.0,center3
473,150380.0,350444.0,center3
474,151806.0,351784.0,center3
475,151305.0,350036.0,center3
476,146879.0,348249.0,center3
477,152402.0,352117.0,center3
478,147922.0,349435.0,center3
479,148090.0,352348.0,center3
480,150560.0,349773.0,center3
481,149028.0,349883.0,center3
482,149583.0,349669.0,center3
483,151883.0,347290.0,center3
484,153310.0,347414.0,center3
485,149374.0,346913.0,center3
486,151036.0,355719.0,center3
487,149246.0,349295.0,center3
488,150726.0,353032.0,center3
489,151391.0,351238.0,center3
490,148049.0,355655.0,center3
491,150869.0,353004.0,center3
492,151901.0,346330.0,center3
493,150292.0,349000.0,center3
494,155470.0,353353.0,center3
495,148076.0,350714.0,center3
496,147669.0,356894.0,center3
497,144466.0,349296.0,center3
498,152879.0,345405.0,center3
499,152742.0,351671.0,center3
500,149747.0,347106.0,center3
501,152841.0,350440.0,center3
502,150581.0,353450.0,center3
503,150920.0,351062.0,center3
504,150357.0,350979.0,center3
505,151391.0,349519.0,center3
506,150321.0,349571.0,center3
507,158814.0,350557.0,center3
508,146311.0,340824.0,center3
509,144136.0,350651.0,center3
510,146393.0,352755.0,center3
511,146543.0,345571.0,center3
512,148629.0,345074.0,center3
513,149467.0,351901.0,center3
514,149309.0,345188.0,center3
515,151712.0,344887.0,center3
516,151231.0,352606.0,center3
517,152376.0,348179.0,center3
518,155623.0,354479.0,center3
519,153868.0,346321.0,center3
520,145942.0,347661.0,center3
521,142635.0,350024.0,center3
522,152852.0,352014.0,center3
523,144195.0,350891.0,center3
524,150211.0,350624.0,center3
525,150112.0,349288.0,center3
526,157043.0,348882.0,center3
527,149781.0,351490.0,center3
528,148396.0,348622.0,center3
529,150746.0,351401.0,center3
530,150777.0,353500.0,center3
531,150222.0,342945.0,center3
532,148075.0,355485.0,center3
533,146134.0,347625.0,center3
534,151001.0,354242.0,center3
535,145753.0,354457.0,center3
536,146736.0,345052.0,center3
537,154210.0,350978.0,center3
538,148675.0,360774.0,center3
539,149556.0,349280.0,center3
540,152845.0,351815.0,center3
541,149051.0,350946.0,center3
542,153255.0,354315.0,center3
543,148909.0,353322.0,center3
544,153203.0,347342.0,center3
545,151990.0,348819.0,center3
546,149326.0,351013.0,center3
547,147262.0,349542.0,center3
548,146701.0,357646.0,center3
549,149146.0,351295.0,center3
550,148614.0,351238.0,center3
551,148708.0,347235.0,center3
552,153110.0,346197.0,center3
553,149059.0,352405.0,center3
554,153617.0,349741.0,center3
555,148319.0,351874.0,center3
556,153076.0,347691.0,center3
557,148348.0,352654.0,center3
558,150558.0,344350.0,center3
559,153070.0,355236.0,center3
560,148691.0,352533.0,center3
561,148614.0,350208.0,center3
562,156335.0,346980.0,center3
563,153007.0,349050.0,center3
564,148634.0,350664.0,center3
565,152052.0,354005.0,center3
566,148861.0,346634.0,center3
567,152232.0,354298.0,center3
568,154477.0,359157.0,center3
569,144926.0,347934.0,center3
570,153254.0,351800.0,center3
571,154610.0,348393.0,center3
572,150150.0,344613.0,center3
573,155522.0,355179.0,center3
574,150491.0,352233.0,center3
575,146088.0,348002.0,center3
576,143064.0,349663.0,center3
577,148946.0,349171.0,center3
578,152256.0,345626.0,center3
579,151004.0,341031.0,center3
580,151308.0,349981.0,center3
581,148175.0,348362.0,center3
582,150455.0,348231.0,center3
583,144818.0,346820.0,center3
584,147596.0,344042.0,center3
585,147411.0,348099.0,center3
586,151644.0,350672.0,center3
587,149955.0,346655.0,center3
588,146346.0,351052.0,center3
589,149970.0,349139.0,center3
590,147819.0,349463.0,center3
591,147892.0,345293.0,center3
592,152733.0,347868.0,center3
593,150359.0,351326.0,center3
594,151260.0,347641.0,center3
595,152795.0,350788.0,center3
596,150570.0,356280.0,center3
597,151742.0,352676.0,center3
598,152160.0,353480.0,center3
599,153702.0,357797.0,center3
600,151505.0,353849.0,center3
601,154466.0,351698.0,center3
602,150071.0,356147.0,center3
603,149849.0,347138.0,center3
604,155380.0,348392.0,center3
605,148388.0,356189.0,center3
606,149991.0,351429.0,center3
607,152909.0,350158.0,center3
608,150474.0,351489.0,center3
609,154443.0,349613.0,center3
610,153270.0,349408.0,center3
611,150922.0,348875.0,center3
612,147541.0,348011.0,center3
613,151792.0,347210.0,center3
614,145628.0,349374.0,center3
615,150773.0,348269.0,center3
616,152557.0,354792.0,center3
617,150674.0,350808.0,center3
618,152782.0,353492.0,center3
619,156447.0,350205.0,center3
620,152922.0,350036.0,center3
621,150844.0,354043.0,center3
622,152029.0,354824.0,center3
623,151346.0,350238.0,center3
624,145842.0,354910.0,center3
625,148683.0,351365.0,center3
626,153873.0,351547.0,center3
627,149862.0,356883.0,center3
628,151842.0,355016.0,center3
629,146817.0,352536.0,center3
630,150204.0,351286.0,center3
631,151898.0,348496.0,center3
632,145695.0,349207.0,center3
633,151099.0,355843.0,center3
634,149425.0,343582.0,center3
635,147029.0,347699.0,center3
636,149881.0,349394.0,center3
637,144003.0,349867.0,center3
638,143271.0,343714.0,center3
639,146278.0,351292.0,center3
640,146868.0,351983.0,center3
641,146291.0,346671.0,center3
642,144544.0,348639.0,center3
643,150911.0,346273.0,center3
644,144959.0,354607.0,center3
645,150349.0,351210.0,center3
646,152489.0,349459.0,center3
647,149993.0,347087.0,center3
648,150294.0,350340.0,center3
649,148804.0,355180.0,center3
650,145311.0,350397.0,center3
651,149861.0,351098.0,center3
652,153038.0,346527.0,center3
653,155497.0,351072.0,center3
654,148640.0,352306.0,center3
655,144854.0,345139.0,center3
656,150526.0,353603.0,center3
657,151190.0,357876.0,center3
658,149282.0,345026.0,center3
659,146367.0,343134.0,center3
660,156402.0,350412.0,center3
661,142539.0,351642.0,center3
662,148387.0,349582.0,center3
663,145821.0,349083.0,center3
664,147988.0,349819.0,center3
665,151005.0,346751.0,center3
666,150437.0,344871.0,center3
667,147752.0,354751.0,center3
668,152457.0,351166.0,center3
669,151968.0,346460.0,center3
670,152047.0,353590.0,center3
671,148654.0,345783.0,center3
672,153316.0,349948.0,center3
673,152089.0,352540.0,center3
674,157933.0,348148.0,center3
675,153363.0,349237.0,center3
676,153659.0,350459.0,center3
677,150168.0,356160.0,center3
678,145926.0,351037.0,center3
679,148826.0,348626.0,center3
680,147604.0,349051.0,center3
681,148217.0,348940.0,center3
682,151756.0,354287.0,center3
683,148239.0,348929.0,center3
684,147169.0,347226.0,center3
685,148706.0,350628.0,center3
686,149491.0,349651.0,center3
687,151294.0,352625.0,center3
688,146988.0,352718.0,center3
689,151003.0,353521.0,center3
690,150247.0,352061.0,center3
691,154188.0,352409.0,center3
692,149326.0,355921.0,center3
693,149575.0,346308.0,center3
694,146296.0,348537.0,center3
695,145619.0,344229.0,center3
696,150982.0,352991.0,center3
697,149211.0,349989.0,center3
698,151593.0,349217.0,center3
699,147177.0,344303.0,center3
700,156035.0,351181.0,center3
701,150387.0,349221.0,center3
702,153311.0,346068.0,center3
703,149282.0,346286.0,center3
704,149486.0,347551.0,center3
705,152182.0,349431.0,center3
706,151757.0,344988.0,center3
707,146457.0,349073.0,center3
708,145153.0,351453.0,center3
709,146528.0,348468.0,center3
710,145523.0,347356.0,center3
711,150188.0,350976.0,center3
712,148700.0,353334.0,center3
713,148836.0,348478.0,center3
714,145696.0,348101.0,center3
715,152465.0,345729.0,center3
716,151390.0,347063.0,center3
717,149717.0,351878.0,center3
718,153229.0,349965.0,center3
719,147236.0,352129.0,center3
720,151311.0,352239.0,center3
721,151102.0,351293.0,center3
722,151104.0,352523.0,center3
723,147694.0,354563.0,center3
724,151034.0,351918.0,center3
725,148372.0,351177.0,center3
726,147165.0,349581.0,center3
727,146195.0,345711.0,center3
728,153282.0,348739.0,center3
729,147325.0,350758.0,center3
730,149453.0,346448.0,center3
731,146178.0,351091.0,center3
732,149060.0,350921.0,center3
733,139779.0,349293.0,center3
734,146563.0,350605.0,center3
735,145489.0,349624.0,center3
736,146792.0,349610.0,center3
737,149326.0,349905.0,center3
738,148971.0,352822.0,center3
739,156149.0,350330.0,center3
740,148192.0,341509.0,center3
741,149209.0,348391.0,center3
742,145037.0,350120.0,center3
743,148490.0,352869.0,center3
744,145769.0,353920.0,center3
745,150096.0,347047.0,center3
746,152698.0,352664.0,center3
747,151278.0,350876.0,center3
748,147784.0,349123.0,center3
749,144844.0,349562.0,center3
750,154617.0,350373.0,center3
751,156483.0,351090.0,center3
752,150381.0,350786.0,center3
753,146870.0,347574.0,center3
754,153788.0,347091.0,center3
755,148126.0,352851.0,center3
756,148514.0,349160.0,center3
757,152803.0,354731.0,center3
758,145620.0,346654.0,center3
759,143812.0,347512.0,center3
760,151330.0,354605.0,center3
761,151267.0,354556.0,center3
762,150301.0,346792.0,center3
763,151571.0,350807.0,center3
764,153422.0,354562.0,center3
765,153069.0,354500.0,center3
766,148202.0,345777.0,center3
767,152561.0,355348.0,center3
768,150548.0,352137.0,center3
769,148401.0,350555.0,center3
770,146226.0,348913.0,center3
771,152046.0,347165.0,center3
772,148882.0,350187.0,center3
773,150147.0,349207.0,center3
774,147492.0,357018.0,center3
775,145097.0,350108.0,center3
776,150543.0,349509.0,center3
777,149803.0,349936.0,center3
778,153792.0,348451.0,center3
779,152535.0,356772.0,center3
780,153331.0,352337.0,center3
781,147632.0,349999.0,center3
782,147039.0,353238.0,center3
783,145987.0,349494.0,center3
784,151575.0,349850.0,center3
785,158820.0,349131.0,center3
786,152301.0,348293.0,center3
787,147555.0,354804.0,center3
788,152646.0,352683.0,center3
789,146432.0,349917.0,center3
790,145495.0,354912.0,center3
791,152269.0,350301.0,center3
792,147540.0,350667.0,center3
793,150999.0,345632.0,center3
794,154448.0,351940.0,center3
795,151268.0,345573.0,center3
796,152940.0,347184.0,center3
797,144922.0,352479.0,center3
798,152092.0,351314.0,center3
799,156763.0,347932.0,center3
800,151711.0,348918.0,center3
801,145127.0,350320.0,center3
802,149358.0,350628.0,center3
803,148419.0,344457.0,center3
804,151211.0,346327.0,center3
805,151303.0,344552.0,center3
806,151282.0,349900.0,center3
807,148850.0,344470.0,center3
808,148105.0,352019.0,center3
809,148136.0,346650.0,center3
810,152699.0,346789.0,center3
811,144140.0,355048.0,center3
812,149344.0,356738.0,center3
813,150855.0,347508.0,center3
814,147936.0,349677.0,center3
815,151509.0,356327.0,center3
816,149774.0,348278.0,center3
817,147033.0,355107.0,center3
818,150510.0,352630.0,center3
819,149152.0,350090.0,center3
820,148704.0,348759.0,center3
821,147751.0,355102.0,center3
822,150194.0,352257.0,center3
823,144162.0,347425.0,center3
824,148740.0,351110.0,center3
825,148281.0,347066.0,center3
826,147116.0,350180.0,center3
827,152064.0,355026.0,center3
828,147678.0,351441.0,center3
829,151710.0,347781.0,center3
830,153086.0,351403.0,center3
831,149504.0,347755.0,center3
832,150878.0,356441.0,center3
833,152022.0,344558.0,center3
834,149744.0,347899.0,center3
835,151710.0,352598.0,center3
836,146007.0,347020.0,center3
837,153511.0,350407.0,center3
838,146871.0,351747.0,center3
839,144217.0,353379.0,center3
840,154378.0,347521.0,center3
841,149802.0,349446.0,center3
842,151420.0,348658.0,center3
843,148851.0,349526.0,center3
844,146773.0,350840.0,center3
845,140282.0,347082.0,center3
846,151980.0,352716.0,center3
847,149093.0,351252.0,center3
848,149376.0,348451.0,center3
849,151283.0,350997.0,center3
850,145512.0,352648.0,center3
851,147693.0,352894.0,center3
852,153628.0,352465.0,center3
853,151891.0,349985.0,center3
854,145948.0,347644.0,center3
855,143033.0,350008.0,center3
856,148194.0,348353.0,center3
857,150677.0,349023.0,center3
858,152980.0,353208.0,center3
859,150296.0,354583.0,center3
860,146451.0,351520.0,center3
861,150968.0,356557.0,center3
862,146293.0,344818.0,center3
863,146961.0,349768.0,center3
864,147933.0,350093.0,center3
865,146112.0,354691.0,center3
866,149143.0,351492.0,center3
867,147154.0,348696.0,center3
868,149097.0,351653.0,center3
869,148538.0,351875.0,center3
870,148704.0,350445.0,center3
871,148408.0,343461.0,center3
872,153900.0,353609.0,center3
873,151930.0,339207.0,center3
874,150187.0,350363.0,center3
875,145361.0,344655.0,center3
876,144859.0,348369.0,center3
877,143787.0,353779.0,center3
878,158238.0,349208.0,center3
879,153075.0,356340.0,center3
880,150813.0,352530.0,center3
881,146919.0,348916.0,center3
882,146375.0,346795.0,center3
883,151732.0,348613.0,center3
884,154949.0,351673.0,center3
885,144645.0,342006.0,center3
886,148579.0,351793.0,center3
887,149733.0,350853.0,center3
888,143701.0,351947.0,center3
889,152660.0,356708.0,center3
890,148689.0,348850.0,center3
891,156047.0,347519.0,center3
892,148764.0,353588.0,center3
893,151294.0,352944.0,center3
894,146387.0,349189.0,center3
895,148024.0,347935.0,center3
896,146304.0,350414.0,center3
897,151241.0,346569.0,center3
898,154117.0,350620.0,center3
899,148123.0,347805.0,center3
900,151380.0,347560.0,center3
901,148405.0,352886.0,center3
902,150323.0,350128.0,center3
903,153783.0,354629.0,center3
904,150380.0,346620.0,center3
905,146721.0,350428.0,center3
906,147290.0,346437.0,center3
907,149463.0,351893.0,center3
908,149394.0,354046.0,center3
909,147262.0,352947.0,center3
910,150571.0,343401.0,center3
911,154005.0,352546.0,center3
912,149206.0,349948.0,center3
913,149353.0,350987.0,center3
914,143038.0,347581.0,center3
915,147551.0,344560.0,center3
916,145594.0,352369.0,center3
917,148779.0,348282.0,center3
918,151662.0,349129.0,center3
919,154817.0,351011.0,center3
920,155687.0,358550.0,center3
921,149630.0,357180.0,center3
922,148987.0,345750.0,center3
923,152585.0,348767.0,center3
924,151550.0,353262.0,center3
925,152420.0,343719.0,center3
926,152461.0,354160.0,center3
927,145319.0,348540.0,center3
928,151709.0,354574.0,center3
929,149711.0,347203.0,center3
930,147596.0,346857.0,center3
